res_id,menu,price
"(990,)",광화문짬뽕,"8,000원"
"(990,)",광화문자장면,"8,000원"
"(990,)",탕수육<중>,"15,000원"
"(990,)",깐풍기 ,"23,000원"
"(990,)",바게트멘보샤,"18,000원"
"(990,)",광화문짬뽕밥,"8,500원"
"(990,)",바삭군만두,"6,000원"
"(990,)",어향동고,"28,000원"
"(990,)",차돌박이숙주볶음,"23,000원"
"(991,)",워터밀 플레이트,"17,900원"
"(991,)",핸드메이드 리코타 치즈 팬케이크와 선인장 시럽(메인),변동
"(991,)",새싹보리로 만든 브리오슈 프렌치 토스트(메인),변동
"(991,)",쉬림프 에그 샌드위치(메인),변동
"(991,)",수제햄과 베이컨이 들어간 모짜렐라 치즈 오믈렛,변동
"(991,)",해산물 칠리 부야베스 숏 파스타,변동
"(991,)",해산물 바질페스토 리소토(메인),변동
"(991,)",버터구이 오징어와 오리엔탈 소스의 스파게티니(메인),변동
"(991,)",네가지 버섯이 들어간 트러플 크림 딸리아뗄레(메인),변동
"(991,)",레드페퍼 소스와 닭다리 살 스테이크(메인),변동
"(991,)",블랙페퍼 소스와 돼지 목살 스테이크(메인),변동
"(991,)",리코타 치즈 수경재배 샐러드(애피타이저),변동
"(991,)",단호박 크림 스프(애피타이저),변동
"(991,)",명란 감자 그라탱(애피타이저),변동
"(991,)",핸드메이드 해쉬 브라운(애피타이저),변동
"(992,)",[점심] 보자기비빔밥 세트,"20,000원"
"(992,)",완전소중한 꽃밥 ,"39,000원"
"(992,)",매콤 제육 비빔밥 세트 ,"20,000원"
"(992,)",황태만둣국 세트,"18,000원"
"(992,)",눈개승마 나물밥 세트,"18,000원"
"(992,)",수제맥주,"9,000원"
"(992,)",채식육개장 세트,"18,000원"
"(992,)",유기농한우떡불고기,"38,000원"
"(992,)",흑산도 우럭찜 ,"35,000원"
"(992,)",찬란한 고추잡채,"28,000원"
"(992,)",진피면역샐러드,"18,000원"
"(993,)",허니치즈트랩,"7,500원"
"(993,)",블루나잇,"7,500원"
"(993,)",굿모닝 하바나,"7,500원"
"(993,)",바나나 푸딩,"7,500원"
"(993,)",딸기 레어 치즈,"7,500원"
"(993,)",허니그레이프,"7,500원"
"(993,)",아보카도 블랜디드,"7,900원"
"(994,)",서울추어탕,"12,000원"
"(994,)",모둠전,"23,000원"
"(994,)",추어튀김,"28,000원"
"(994,)",턍평채,"18,000원"
"(994,)",버섯육개장,"12,000원"
"(994,)",남도 추어탕,"12,000원"
"(995,)",아메리카노,"4,900원"
"(996,)",블란서미술관 1인 이용권(평일),변동
"(996,)",블란서미술관 1인 이용권(주말),변동
"(997,)",시그니쳐,"53,000원"
"(997,)",스페셜,"78,000원"
"(997,)",프리미엄,"140,000원"
"(998,)",J.alley오늘의 빵(4pcs),"2,000원"
"(998,)",오늘의 샐러드,"5,000원"
"(998,)",오징어 먹물 아란치니,"8,000원"
"(998,)",통 토마토 리코타 샐러드,"10,000원"
"(998,)",그릴드 치킨,"14,000원"
"(998,)",하몽 가지구이,"15,000원"
"(998,)",겉바속촉 문어,"14,000원"
"(998,)",허니 트러플향 감자튀김,"7,000원"
"(998,)",고대미 항정살 버섯 리조또,"24,000원"
"(998,)",차돌박이 라구,"22,000원"
"(998,)",해산물 로제,"21,000원"
"(998,)",쵸리조 알리올리오,"19,000원"
"(998,)",버섯 수란 베이컨 크림,"18,000원"
"(998,)",돈마호크 뼈등심,"33,000원"
"(998,)","[평일 점심]커피 & 차(hot,ice)","1,000원"
"(999,)",서울수육카츠,"25,900원"
"(999,)",서울족발카츠,"20,800원"
"(999,)",서울떡갈비카츠,"13,900원"
"(999,)",등심카츠,"14,900원"
"(999,)",안심카츠,"13,900원"
"(999,)",특등심카츠,"18,900원"
"(999,)",안심&등심카츠,"15,900원"
"(999,)",치즈카츠,"14,800원"
"(999,)",경양우동,"4,000원"
"(999,)",명란마요작은카츠볼6ea,"4,500원"
"(999,)",계란품은칠리카츠볼4ea,"4,500원"
"(999,)",새우튀김2ea,"5,000원"
"(999,)",단호박고로케4ea,"5,000원"
"(999,)",수제잔식혜,"3,500원"
"(999,)",라무네사이다,"4,000원"
"(1000,)",오리지날 에그 수플레 카스텔라,"16,000원"
"(1000,)",스톤 드립 커피,"5,800원"
"(1000,)",쑥 수플레 카스텔라,"17,000원"
"(1000,)",딸기 수플레 카스텔라,"18,000원"
"(1000,)",말차 프로마쥬 케이크,"13,000원"
"(1000,)",딸기 프로마쥬 케이크,"14,000원"
"(1000,)",스톤 드립 계란 커피,"7,300원"
"(1000,)",천혜향 청수 / 차,"7,500원"
"(1000,)",자두 청수 / 차,"7,500원"
"(1000,)",핸드 드립 어린 잎,"7,500원"
"(1000,)",말차 우유,"7,000원"
"(1000,)",말차 크림 우유,"7,500원"
"(1000,)",핸드 드립 홍차,"7,500원"
"(1000,)",홍차 우유,"7,000원"
"(1000,)",홍차 크림 우유,"7,500원"
"(1002,)",백반,"8,000원"
