res_id,menu,price
"(1,)",돼지갈비 300g,"15,000원"
"(1,)",소갈비살 150g,"17,000원"
"(1,)",양념소갈비 2대,"24,000원"
"(1,)",생삼겹살 180g,"15,000원"
"(1,)",생목살 200g,"15,000원"
"(1,)",누룽지,"4,000원"
"(2,)",소고기편백찜+ 샤브샤브 무한리필 런치,"12,900원"
"(2,)",소고기편백찜+ 샤브샤브 무한리필 디너,"14,900원"
"(2,)",간장새우,"7,000원"
"(2,)",간장새우밥,"7,000원"
"(2,)",간장계란밥,"2,000원"
"(3,)",소곱창,"15,000원"
"(3,)",모듬곱창,"16,000원"
"(3,)",소대창,"15,000원"
"(3,)",소막창,"15,000원"
"(3,)",염통 추가,"8,000원"
"(3,)",우삼겹 추가,"8,000원"
"(3,)",육회 추가,"8,000원"
"(3,)",떡 추가,"1,000원"
"(3,)",볶음밥,"3,000원"
"(3,)",치즈사리,"1,000원"
"(3,)",소주/맥주,"4,000원"
"(3,)",칭따오,"6,000원"
"(3,)",참나무통맑은이슬,"4,000원"
"(3,)",음료,"1,000원"
"(3,)",낙곱새,"12,000원"
"(4,)",크림롱블랙,"4,800원"
"(4,)",블랙크림라떼,"4,800원"
"(4,)",핑크크림라떼,"4,800원"
"(4,)",그레이크림라떼,"4,800원"
"(5,)",물갈비,"15,000원"
"(5,)",A 세트,"75,000원"
"(5,)",B 세트,"75,000원"
"(5,)",볶음밥,"3,000원"
"(5,)",오삼불고기,"12,000원"
"(5,)",오징어불고기,"9,000원"
"(6,)",러시아 킹크랩 찜& 치즈버터 오븐구이,변동
"(6,)",러시아 박달대게 찜& 치즈버터 오븐구이,변동
"(6,)",대왕 랍스타 찜& 치즈버터 오븐구이,변동
"(6,)",꽃게 라면,"5,000원"
"(6,)",게장 비빔밥,"2,000원"
"(6,)",밑반찬 포장및 배달 셋트,"15,000원"
"(7,)",호세가파히타 ( 2 - 3 인용 ),"36,000원"
"(7,)",치킨파히타(1인용),"12,000원"
"(7,)",포크파히타(1인용),"12,500원"
"(7,)",비프파히타(1인용),"13,500원"
"(7,)",런치 SET A.,"7,000원"
"(7,)",런치 SET B.,"8,000원"
"(7,)",콤보 SET A.,"28,000원"
"(7,)",콤보 SET B.,"32,000원"
"(7,)",데킬라 SET,"119,000원"
"(7,)",치킨타코,"7,500원"
"(7,)",포크타코,"8,000원"
"(7,)",비프타코,"9,000원"
"(7,)",쉬림프타코,"9,500원"
"(7,)",치킨브리또,"8,000원"
"(7,)",포크브리또,"8,500원"
"(8,)",탕수육,"22,000원"
"(8,)",간짜장,"7,000원"
"(8,)",볶음밥,"7,500원"
"(8,)",짬뽕,"7,000원"
"(8,)",수제군만두,"6,500원"
"(8,)",짜장,"6,000원"
"(8,)",쇠고기탕면,"10,000원"
"(8,)",마라탕면,"10,000원"
"(8,)",차돌짬뽕,"10,000원"
"(8,)",얼큰화로탕,"20,000원"
"(8,)",짬뽕밥,"7,500원"
"(8,)",오무라이스,"9,000원"
"(8,)",마파두부밥,"9,000원"
"(8,)",잡채밥,"9,000원"
"(8,)",굴짬뽕,"9,500원"
"(9,)",평양냉면,"10,000원"
"(9,)",양지곰탕,"10,000원"
"(9,)",제주흑돼지 수육-한접시,"13,000원"
"(9,)",양지수육,"18,000원"
"(9,)",녹두전,"7,000원"
"(9,)",비빔냉면,"10,000원"
"(9,)",제주 흑돼지 수육-반접시,"7,000원"
"(11,)",애슐리퀸즈 평일런치,"15,900원"
"(11,)",애슐리퀸즈 주말공휴일,"25,900원"
"(11,)",애슐리퀸즈 초등학생,"12,900원"
"(11,)",애슐리퀸즈 미취학생,"7,900원"
"(11,)",애슐리 퀸즈 평일디너,"22,900원"
"(12,)",바지락칼국수,"7,000원"
"(12,)",바지락칼제비,"7,000원"
"(12,)",바지락수제비,"7,000원"
"(12,)",얼큰칼제비,"7,000원"
"(12,)",콩국수,"7,000원"
"(12,)",얼큰칼국수,"7,000원"
"(14,)",중식뷔페,"9,000원"
"(15,)",모듬곱창,"20,000원"
"(15,)",순곱창,"23,000원"
"(15,)",마늘곱창,"25,000원"
"(15,)",대창,"19,000원"
"(15,)",막창,"19,000원"
"(16,)",크루아상,"2,800원"
"(16,)",얼그레이 크루아상,"3,500원"
"(16,)",뻉오쇼콜라,"3,000원"
"(16,)",라우겐크루아상,"3,300원"
"(16,)",아몬드크루아상,"3,500원"
"(16,)",바게트,"3,500원"
"(16,)",앙버터 바게트,"4,000원"
"(16,)",라우겐프레첼,"2,500원"
"(16,)",치아바타,"3,000원"
"(16,)",치아바타 샌드위치,"4,000원"
"(16,)",빨미까레,"3,500원"
"(17,)",창코나베,"25,000원"
"(17,)",튀김,"18,000원"
"(17,)",간단사시미,"20,000원"
"(17,)",광어고노와다,"25,000원"
"(17,)",치즈오코노미야끼,"20,000원"
"(17,)",다양한 요리,변동
"(18,)",치즈 플레이트,"19,000원"
"(18,)",자메이카 통다리구이,"21,000원"
"(18,)",와인,변동
"(18,)",수제맥주,"7,000원"
