res_id,menu,price
2,5가지 버섯을 이용한 크림 파스타,"13,000원"
2,레몬 갈릭소스로 맛을 낸 홍가리비 파스타,"14,000원"
2,구운 삼치를 올리 봉골레 파스타,"15,000원"
2,바질 리코타 치즈를 올린 라구 페투치네,"13,000원"
2,허브 새우 & 비스큐 블랑 링귀니,"14,000원"
2,차가운 버터를 올린 흑돼지 등심,"13,000원"
2,핑크 흑돼지 안심,"13,000원"
2,바삭하게 구운 연어와 조개 베샤멜 소스,"15,000원"
2,달콤하게 구운 훈제 닭다리,"13,000원"
2,검정 가자미 구이와 참나물 샐러드,"14,000원"
3,동파육(소),"45,000원"
3,동파육(중),"55,000원"
3,동파육(대),"65,000원"
3,칠리새우,"40,000원"
3,멘보샤 소,"35,000원"
3,멘보샤 대,"50,000원"
3,짜장면,"8,000원"
3,짬뽕,"10,000원"
3,탄탄면,"10,000원"
3,기스면,"7,000원"
3,새우볶음밥,"9,000원"
4,핸드드립 커피,"5,000원"
4,카페 오 래,"6,000원"
4,칵테일,"8,000원"
4,위스키,"8,000원"
4,호두. 땅콩 과자,"5,000원"
4,나폴리탄 스파게티 세트,"12,000원"
4,돈까스 세트,"12,000원"
4,와인,"8,000원"
5,옥수수크러핀,"4,000원"
5,라즈베리크러핀,"4,000원"
5,더블쇼콜라,"4,500원"
5,앙버터,"5,000원"
5,땡큐'베리'머'치즈',"6,500원"
5,커스터드크러핀,"4,000원"
5,초코크러핀,"4,000원"
5,말차크러핀,"4,000원"
5,패션후르츠에이드,"6,500원"
5,바닐라빈라떼,"4,500원"
5,썸머라떼,"5,500원"
5,아이스아메리카노,"4,000원"
5,아이스라떼,"4,300원"
5,레몬크러핀,"4,000원"
5,얼그레이 크러핀,"4,000원"
6,마늘바게트,"6,300원"
7,유니짜장,"6,000원"
7,삼선간짜장,"8,000원"
7,쟁반짜장,"9,000원"
7,짬뽕,"7,000원"
7,삼선짬뽕,"9,000원"
8,해물모둠 2인,"39,000원"
8,해물모둠 3~4인,"59,000원"
8,숙성회 2인,"35,000원"
8,방어회,"35,000원"
8,갑오징어 통찜,"29,000원"
8,참동 숙성회,"39,000원"
9,한옥집 김치찜,"8,500원"
9,한옥집 김치 등뼈찜,"30,000원"
9,한옥집 김치찌개,"8,500원"
9,한옥집 달걀말이,"8,500원"
9,한옥집 떡갈비,"8,000원"
9,한옥집 수육무침,"10,000원"
9,한옥집 숙성김치 5kg,"35,000원"
9,한옥집 유산균막걸리,"7,000원"
10,모듬사시미(중),"65,000원"
10,고노와다,"28,000원"
10,닭날개만두,"25,000원"
10,제주산금태,"32,000원"
10,장어덮밥,"28,000원"
10,새우튀김,"25,000원"
10,제주산옥돔,"32,000원"
10,우니,"28,000원"
10,전복볶음밥,"20,000원"
10,차돌박이 짬뽕,"27,000원"
10,치킨가라아케,"17,000원"
10,새우크림 고로케,"20,000원"
10,카덴 정식 (런치),"25,000원"
12,삼색야끼도리 런치,"13,000원"
12,생연어덮밥,"13,000원"
12,스프카레,"13,000원"
12,스끼야끼,"18,000원"
12,치즈키마카레(곧준비),변동
13,전국택배(더즌베이글/12개),"25,000원"
13,훈제연어 샌드위치(NOVA),"7,400원"
13,치킨타임 or  이탈리안클럽,"6,800원"
13,포트워싱턴 or 필리치즈 스테이크 샌드위치,"6,800원"
13,베이글클럽,"6,800원"
13,(베이컨 or 햄)에그 & 치즈,"6,800원"
13,낫소베이글 or BLT,"6,800원"
13,그릴치즈멜트,"6,800원"
13,에그(치킨) 샐러드 샌드위치,"6,400원"
13,크림치즈 (용기 별도판매),"2,800~3,400"
13,샌드위치 메뉴,"5,900~7,400"
13,세트메뉴,"7,700~9,200"
14,우동스키,"35,000원"
14,우동,"6,000원"
14,덴뿌라우동,"9,000원"
14,붓가케우동,"8,500원"
14,토리텐(닭)붓카케우동,"9,000원"
14,가마타마 버터우동,"10,000원"
14,멘타이코(명란) 크림우동,"12,000원"
14,제주 은갈치 튀김,"28,000원"
15,칵테일,변동
15,하이볼,"7,000~8,000"
15,시그니처칵테일,"10,000~14,000"
16,호두오빠대추언니,"6,500원"
16,포동포동,"7,500원"
16,나나블루,"7,000원"
16,very 초코베리,"7,900원"
16,치즈는방울방울,"7,500원"
16,키위나나,"7,500원"
16,바나나몬,"7,500원"
16,오렌지브라운,"7,500원"
16,콜드브루,"3,800원"
16,콜드브루라떼,"4,300원"
17,평일 런치세트 A,"9,900원"
17,평일 런치세트 B,"13,000원"
17,머노까머나세트 B,"15,000원"
17,탄두리치킨,"16,000원"
17,치킨 마카니,"11,000원"
17,빨락 빠니르,"10,000원"
17,칠리프라운 커리,"13,000원"
17,머노까머나 탄두리 킹프라운,"20,000원"
17,탄두리 샐러드,"8,000원"
17,씨푸드 커리 파스타,"10,000원"
17,치킨 브리야니(볶음밥),"9,000원"
17,사모사,"4,000원"
17,치킨머쉬룸스프,"5,000원"
17,파파드,"2,000원"
17,치킨머라이 타카,"12,000원"
18,클래식 라자냐(생면),"18,000원"
18,뇨끼,"20,000원"
