res_id,rtr_pic_loc
1,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201027_124%2F1603730983170PnKrC_JPEG%2FKakaoTalk_20200712_190332264_01.jpg
1,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201027_288%2F1603730983156ct4US_JPEG%2FKakaoTalk_20201027_014657313_04.jpg
1,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191128_269%2F1574883884678XGW84_JPEG%2FSsPxptWXJ4ilpe9GGHUOExMA.jpg
1,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201027_101%2F1603730983147eFOId_JPEG%2FKakaoTalk_20201027_014657313_01.jpg
1,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181118_193%2F15425163345735H5uP_JPEG%2FvFSPJL6qhwzo2OxjavPUe2ie.jpg
2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190624_119%2F1561350193216ivUXY_GIF%2FCcUHEQGfJBjKhytCErFwWNhz.g
2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190624_228%2F1561378419266Wlhqi_JPEG%2FShIZ8urj8SGQfxq18eXr2KyP.JPG.jpg
2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190624_9%2F1561378419708dm2ua_JPEG%2Fdoozn82BffvFLAXxcL_fEGs9.JPG.jpg
2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190624_120%2F1561378442411aEXA6_JPEG%2FGEqWSvBPZ1avSDlNEv_McrkY.JPG.jpg
2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190624_202%2F1561378457105x4jir_JPEG%2FFw6Oals5uGOMxu4TEZFLXzJH.jpg
3,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_62%2F1440992706193nR2Iy_JPEG%2F11880458_2.jpg
3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_110%2F1440992706354B3Gg2_JPEG%2F11880458_3.jpg
3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_227%2F144099270653414bn3_JPEG%2F11880458_4.jpg
3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_111%2F1440992706888u8ND6_JPEG%2F11880458_6.jpg
3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200216_15%2F1581853917338LgbRC_JPEG%2F-APmFOa3P_K2WUFTLSih7F3w.jpg
4,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201220_238%2F1608448127949VKtK5_JPEG%2F7EVBv3XqiI7lTUq2fHNzK-bW.jpeg.jpg
4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201220_146%2F1608448128354vPWoK_JPEG%2FyBW7ibwDODzUImig6zc5O8Yr.jpeg.jpg
