AMD 3015e , 2678 , 1408
AMD 3020e , 2652 , 1488
AMD A10 Micro-6700T APU , 1291 , 703
AMD A10 PRO-7350B APU , 1896 , 926
AMD A10 PRO-7800B APU , 3096 , 1453
AMD A10 PRO-7850B APU , 3406 , 1570
AMD A10-4600M APU , 1905 , 1070
AMD A10-4655M APU , 1591 , 864
AMD A10-4657M APU , 1759 , 940
AMD A10-5700 APU , 2711 , 1430
AMD A10-5745M APU , 1705 , 983
AMD A10-5750M APU , 1917 , 1101
AMD A10-5757M APU , 1997 , 1195
AMD A10-5800B APU , 2870 , 1517
AMD A10-5800K APU , 2924 , 1489
AMD A10-6700 APU , 3127 , 1625
AMD A10-6700T APU , 2224 , 1267
AMD A10-6790K APU , 3167 , 1609
AMD A10-6800B APU , 2824 , 1513
AMD A10-6800K APU , 3135 , 1601
AMD A10-7300 APU , 1680 , 830
AMD A10-7400P , 2096 , 1067
AMD A10-7700K APU , 3166 , 1443
AMD A10-7800 APU , 3099 , 1440
AMD A10-7850K APU , 3410 , 1510
AMD A10-7860K , 3295 , 1516
AMD A10-7870K , 3554 , 1547
AMD A10-7890K , 3539 , 1582
AMD A10-8700P , 2254 , 1171
AMD A10-8750 , 3299 , 1546
AMD A10-8850 , 3525 , 1624
AMD A10-9600P , 2228 , 1079
AMD A10-9620P , 2614 , 1345
AMD A10-9630P , 2947 , 1352
AMD A10-9700 , 3500 , 1612
AMD A10-9700E , 3151 , 1387
AMD A12-9700P , 2395 , 1142
AMD A12-9720P , 2665 , 1368
AMD A12-9730P , 3172 , 1487
AMD A12-9800 , 3232 , 1536
AMD A12-9800E , 3346 , 1555
AMD A4 Micro-6400T APU , 1004 , 530
AMD A4 PRO-3340B , 1706 , 757
AMD A4 PRO-7300B APU , 1448 , 1499
AMD A4 PRO-7350B , 1024 , 1174
AMD A4-1200 APU , 445 , 327
AMD A4-1250 APU , 432 , 329
AMD A4-3300 APU , 995 , 1061
AMD A4-3300M APU , 674 , 755
AMD A4-3305M APU , 807 , 893
AMD A4-3310MX APU , 844 , 849
AMD A4-3320M APU , 837 , 832
AMD A4-3330MX APU , 681 , 909
AMD A4-3400 APU , 1049 , 1098
AMD A4-3420 APU , 1052 , 1146
AMD A4-4000 APU , 1135 , 1184
AMD A4-4020 APU , 1186 , 1216
AMD A4-4300M APU , 1055 , 1031
AMD A4-4355M APU , 816 , 815
AMD A4-5000 APU , 1281 , 513
AMD A4-5050 APU , 1328 , 538
AMD A4-5100 APU , 1346 , 540
AMD A4-5150M APU , 1129 , 1109
AMD A4-5300 APU , 1277 , 1266
AMD A4-5300B APU , 1173 , 1252
AMD A4-6210 APU , 1477 , 614
AMD A4-6250J APU , 1685 , 700
AMD A4-6300 APU , 1400 , 1422
AMD A4-6300B APU , 1328 , 1373
AMD A4-6320 APU , 1563 , 1550
AMD A4-7210 APU , 1639 , 712
AMD A4-7300 APU , 1530 , 1500
AMD A4-9120 , 1257 , 1076
AMD A4-9120C , 937 , 689
AMD A4-9120e , 908 , 767
AMD A4-9125 , 1235 , 1043
AMD A6 Micro-6500T APU , 1146 , 630
AMD A6 PRO-7050B APU , 1046 , 900
AMD A6 PRO-7400B , 1555 , 1452
AMD A6-1450 APU , 1033 , 457
AMD A6-3400M APU , 1191 , 723
AMD A6-3410MX APU , 1293 , 757
AMD A6-3420M APU , 1249 , 784
AMD A6-3430MX APU , 1331 , 785
AMD A6-3500 APU , 1381 , 969
AMD A6-3600 APU , 1636 , 935
AMD A6-3620 APU , 1797 , 981
AMD A6-3650 APU , 2089 , 1106
AMD A6-3670 APU , 2040 , 1128
AMD A6-4400M APU , 1006 , 1034
AMD A6-4455M APU , 799 , 807
AMD A6-5200 APU , 1623 , 646
AMD A6-5345M APU , 1122 , 1094
AMD A6-5350M APU , 1049 , 1084
AMD A6-5357M APU , 1260 , 1268
AMD A6-5400B APU , 1412 , 1354
AMD A6-5400K APU , 1217 , 1216
AMD A6-6310 APU , 1703 , 761
AMD A6-6400B APU , 1616 , 1608
AMD A6-6400K APU , 1409 , 1395
AMD A6-6420B APU , 1550 , 1629
AMD A6-6420K APU , 1538 , 1557
AMD A6-7000  , 1010 , 857
AMD A6-7310 APU , 1682 , 780
AMD A6-7400K APU , 1621 , 1412
AMD A6-7470K , 1744 , 1551
AMD A6-7480 , 1868 , 1604
AMD A6-8500P , 1452 , 1227
AMD A6-8550 , 1604 , 1474
AMD A6-9200 , 1062 , 925
AMD A6-9210 , 1167 , 1023
AMD A6-9220 , 1282 , 1174
AMD A6-9220C , 1273 , 1057
AMD A6-9220e , 968 , 852
AMD A6-9225 , 1348 , 1188
AMD A6-9230 , 1279 , 1158
AMD A6-9400 , 2717 , 1664
AMD A6-9500 , 1877 , 1638
AMD A6-9500E , 1841 , 1478
AMD A8 PRO-7150B APU , 1511 , 775
AMD A8 PRO-7600B APU , 2601 , 1277
AMD A8-3500M APU , 1234 , 753
AMD A8-3510MX APU , 1483 , 888
AMD A8-3520M APU , 1416 , 858
AMD A8-3530MX APU , 1477 , 886
AMD A8-3550MX APU , 1579 , 938
AMD A8-3800 APU , 1825 , 1037
AMD A8-3820 APU , 2024 , 1098
AMD A8-3850 APU , 2089 , 1175
AMD A8-3870K APU , 2338 , 1230
AMD A8-4500M APU , 1676 , 929
AMD A8-4555M APU , 1336 , 805
AMD A8-5500 APU , 2575 , 1352
AMD A8-5500B APU , 2663 , 1366
AMD A8-5545M APU , 1553 , 828
AMD A8-5550M APU , 1882 , 1076
AMD A8-5557M APU , 1719 , 1047
AMD A8-5600K APU , 2733 , 1410
